,soldPrice,bednumber,propertyType,duration_free_not_lease,isNew,latitude,longitude
328,465000,3,Terraced,1,0,51.38925546,-2.348083014
329,260000,2,Flat,0,0,51.37578164,-2.352520776
330,322500,2,Terraced,1,0,51.37558404,-2.381152958
331,340000,2,Terraced,1,0,51.37396565,-2.38386917
332,322500,2,Terraced,1,0,51.37558404,-2.381152958
333,340000,2,Terraced,1,0,51.39142755,-2.358318065
334,324000,2,Terraced,1,0,51.3769364,-2.3800435269999998
335,505000,3,Semi-Detached,1,0,51.35773828,-2.369055922
336,383000,4,Terraced,1,0,51.38307335,-2.394952439
337,469000,2,Terraced,1,0,51.39506575,-2.359438874
338,500000,2,Terraced,0,0,51.39506575,-2.359438874
339,1403000,4,Terraced,1,0,51.39286523,-2.37303242
340,1010000,1,Semi-Detached,1,0,51.41102262,-2.320297124
341,614850,4,Semi-Detached,0,0,51.387511,-2.382689193
342,300000,3,Terraced,1,0,51.37122294,-2.372813304
343,380000,3,Detached,1,0,51.35258432,-2.375246698
344,535000,3,Detached,1,0,51.40137445,-2.33006231
345,225000,3,Flat,0,0,51.39191221,-2.3556629890000003
346,325000,3,Terraced,1,0,51.37299946,-2.385110956
347,540000,3,Semi-Detached,1,0,51.38568522,-2.393681609
348,346500,3,Terraced,1,0,51.37558404,-2.381152958
349,346500,3,Terraced,1,0,51.37558404,-2.381152958
350,280000,2,Flat,0,0,51.37758148,-2.369531669
351,440000,3,Semi-Detached,1,0,51.36633131,-2.321292143
352,190000,3,Flat,0,0,51.37641772,-2.4033862630000002
353,710000,4,Terraced,1,0,51.38512184,-2.390184
354,435000,4,Detached,1,0,51.37210239,-2.392602505
355,525000,3,Semi-Detached,1,0,51.36649456,-2.3724157740000003
356,265000,2,Terraced,1,0,51.38432238,-2.3978515430000003
357,247500,3,Terraced,1,0,51.36918072,-2.389718839
358,233000,2,Terraced,1,0,51.36002459,-2.3596095740000003
359,570000,3,Detached,0,0,51.39129345,-2.378092966
360,235000,2,Terraced,1,0,51.40021664,-2.35098374
361,420000,3,Semi-Detached,1,0,51.3894382,-2.340984897
362,289000,2,Terraced,0,0,51.38105327,-2.380451234
363,1050000,1,Terraced,1,0,51.38776421,-2.365345568
364,630000,3,Terraced,0,0,51.39095653,-2.3565035180000002
365,506000,2,Detached,1,0,51.39371092,-2.364315005
366,205000,2,Semi-Detached,1,0,51.37379611,-2.404842967
367,348000,3,Terraced,1,0,51.37563468,-2.393035019
